bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.12,0.2,0.1,60,0.116,0.729,-0.296,1.0,3,0.204
0.05,0.2,0.3,60,0.116,0.732,-0.296,0.833,18,0.185
0.12,0.15,0.3,60,0.116,0.729,-0.296,1.0,3,0.204
0.12,0.15,0.1,60,0.116,0.729,-0.296,1.0,3,0.204
0.05,0.1,0.3,75,0.116,0.73,-0.296,0.769,13,0.101
0.05,0.3,0.3,60,0.116,0.726,-0.296,0.842,19,0.19
0.12,0.2,0.5,60,0.116,0.729,-0.296,1.0,3,0.204
0.07,0.2,0.3,60,0.115,0.726,-0.296,1.0,10,0.183
0.07,0.15,0.3,60,0.115,0.726,-0.296,1.0,10,0.183
0.07,0.15,0.2,60,0.114,0.715,-0.296,1.0,10,0.183
0.1,0.15,0.3,30,0.114,0.715,-0.296,1.0,3,0.145
0.15,0.3,0.5,50,0.114,0.716,-0.216,1.0,4,0.471
0.1,0.15,0.1,30,0.114,0.715,-0.296,1.0,3,0.145
0.1,0.15,0.2,30,0.114,0.715,-0.296,1.0,3,0.145
0.1,0.15,0.5,30,0.114,0.715,-0.296,1.0,3,0.145
0.07,0.2,0.2,60,0.114,0.715,-0.296,1.0,10,0.183
0.1,0.15,0.4,30,0.114,0.715,-0.296,1.0,3,0.145
0.1,0.3,0.5,30,0.113,0.71,-0.292,1.0,6,0.218
0.07,0.2,0.1,60,0.113,0.704,-0.296,1.0,10,0.183
0.1,0.3,0.3,30,0.113,0.707,-0.293,1.0,6,0.218
0.05,0.2,0.4,60,0.113,0.704,-0.302,0.824,17,0.175
0.1,0.2,0.4,30,0.113,0.709,-0.293,1.0,6,0.218
0.1,0.3,0.4,30,0.113,0.709,-0.293,1.0,6,0.218
0.1,0.2,0.3,30,0.113,0.707,-0.293,1.0,6,0.218
0.1,0.3,0.2,30,0.113,0.705,-0.294,1.0,6,0.218
0.1,0.2,0.5,30,0.113,0.71,-0.292,1.0,6,0.218
0.1,0.2,0.2,30,0.113,0.705,-0.294,1.0,6,0.218
0.07,0.15,0.1,60,0.113,0.704,-0.296,1.0,10,0.183
0.1,0.2,0.1,30,0.112,0.702,-0.295,1.0,6,0.218
0.15,0.3,0.4,50,0.112,0.696,-0.216,1.0,4,0.471
0.05,0.1,0.1,30,0.112,0.702,-0.296,1.0,14,0.089
0.1,0.3,0.1,30,0.112,0.702,-0.295,1.0,6,0.218
0.05,0.3,0.4,60,0.112,0.699,-0.304,0.842,19,0.19
0.05,0.15,0.1,30,0.112,0.702,-0.296,1.0,14,0.089
0.15,0.2,0.4,75,0.111,0.689,-0.296,1.0,2,0.3
0.15,0.2,0.5,75,0.111,0.689,-0.296,1.0,2,0.3
0.15,0.2,0.2,75,0.111,0.689,-0.296,1.0,2,0.3
0.15,0.2,0.3,75,0.111,0.689,-0.296,1.0,2,0.3
0.15,0.2,0.1,75,0.111,0.689,-0.296,1.0,2,0.3
0.05,0.1,0.2,30,0.11,0.688,-0.296,1.0,14,0.089
0.07,0.3,0.1,75,0.11,0.682,-0.296,0.923,13,0.201
0.15,0.3,0.5,60,0.11,0.687,-0.216,1.0,4,0.455
0.05,0.15,0.2,30,0.11,0.688,-0.296,1.0,16,0.092
0.12,0.3,0.5,50,0.11,0.684,-0.221,1.0,5,0.325
0.05,0.2,0.5,60,0.109,0.678,-0.313,0.824,17,0.175
